date,driverId,constructorId,number,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapSpeed,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2018,832,4,55,9,8,4.0,67,\N,61,13,207.485,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,839,10,31,8,9,2.0,67,\N,61,12,207.639,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,844,15,16,13,10,1.0,67,\N,65,10,207.996,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,842,5,10,16,11,0.0,67,\N,67,14,207.395,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,154,210,8,20,12,0.0,67,\N,56,9,208.024,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,825,210,20,11,13,0.0,67,\N,65,8,208.214,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,815,10,11,10,14,0.0,67,\N,64,7,209.049,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,828,15,9,19,15,0.0,66,\N,62,18,205.484,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,838,1,2,15,16,0.0,66,\N,55,15,207.214,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,845,3,35,18,17,0.0,66,\N,53,16,206.780,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,4,1,14,14,18,0.0,40,\N,33,17,206.085,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,843,5,28,12,19,0.0,0,\N,\N,0,\N,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,840,3,18,17,20,0.0,0,\N,\N,0,\N,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,1,131,44,1,1,25.0,53,5411385,49,5,222.531,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,830,9,33,4,2,18.0,53,5418475,47,2,223.083,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,8,6,7,6,3,15.0,53,5437273,48,3,222.792,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,817,9,3,5,4,12.0,53,5446121,37,7,220.494,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,20,6,5,3,5,10.0,53,5473320,42,4,222.587,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,825,210,20,9,6,8.0,53,5490749,50,8,220.395,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,822,131,77,2,7,6.0,53,5492017,41,1,223.201,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,832,4,55,7,8,4.0,53,5498569,46,9,219.904,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,807,4,27,12,9,2.0,53,5503374,46,11,219.365,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,844,15,16,8,10,1.0,53,5505258,45,12,219.127,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,154,210,8,10,11,0.0,52,\N,47,10,219.773,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,838,1,2,17,12,0.0,52,\N,48,14,217.545,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,828,15,9,15,13,0.0,52,\N,37,13,217.953,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,843,5,28,20,14,0.0,52,\N,40,15,217.176,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,845,3,35,18,15,0.0,52,\N,35,16,213.949,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,4,1,14,16,16,0.0,50,\N,48,6,221.071,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,840,3,18,19,17,0.0,48,\N,35,18,213.907,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,815,10,11,13,18,0.0,27,\N,25,17,213.907,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,839,10,31,11,19,0.0,0,\N,\N,0,\N,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,842,5,10,14,20,0.0,0,\N,\N,0,\N,24.55,49.05,966.26,0.01,42.03,118.4,1.82
2018,830,9,33,4,1,25.0,71,4916024,70,4,230.491,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,8,6,7,3,2,18.0,71,4917528,71,1,232.160,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,20,6,5,6,3,15.0,71,4919205,67,2,231.728,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,154,210,8,5,4,12.0,70,\N,17,16,225.055,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,825,210,20,8,5,10.0,70,\N,70,7,227.010,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,839,10,31,11,6,8.0,70,\N,64,11,225.777,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,815,10,11,16,7,6.0,70,\N,66,8,226.918,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,4,1,14,13,8,4.0,70,\N,69,9,226.399,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,844,15,16,18,9,2.0,70,\N,68,14,225.267,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,828,15,9,20,10,1.0,70,\N,67,6,227.876,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,842,5,10,12,11,0.0,70,\N,38,19,224.327,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,832,4,55,9,12,0.0,70,\N,37,10,226.053,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,845,3,35,17,13,0.0,69,\N,64,13,225.381,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,840,3,18,14,14,0.0,69,\N,68,18,224.626,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,838,1,2,15,15,0.0,65,\N,63,12,225.633,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,1,131,44,2,16,0.0,62,\N,58,3,231.180,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,843,5,28,19,17,0.0,54,\N,42,17,224.730,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,817,9,3,7,18,0.0,53,\N,46,5,229.983,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,822,131,77,1,19,0.0,13,\N,12,15,225.143,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,807,4,27,10,20,0.0,11,\N,7,20,220.869,23.18,37.14,936.11,0.0,45.88,60.14,2.48
2018,20,6,5,2,1,25.0,52,5249784,47,1,233.831,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,1,131,44,1,2,18.0,52,5252048,52,3,232.424,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,8,6,7,3,3,15.0,52,5253436,51,2,233.576,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,822,131,77,4,4,12.0,52,5258667,43,4,232.089,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,817,9,3,6,5,10.0,52,5259284,46,5,231.551,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,807,4,27,11,6,8.0,52,5278004,48,7,227.049,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,839,10,31,10,7,6.0,52,5279714,48,13,226.562,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,4,1,14,13,8,4.0,52,5280899,52,10,226.862,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,825,210,20,7,9,2.0,52,5282972,48,12,226.567,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,815,10,11,12,10,1.0,52,5284492,48,9,226.887,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,838,1,2,17,11,0.0,52,5285558,48,11,226.695,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,840,3,18,19,12,0.0,52,5287890,48,15,225.927,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,842,5,10,14,13,0.0,52,5288913,48,8,226.904,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,845,3,35,18,14,0.0,52,5297897,52,18,224.134,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,843,5,28,0,20,0.0,1,\N,\N,0,\N,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,830,9,33,5,15,0.0,46,\N,42,6,230.499,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,154,210,8,8,16,0.0,37,\N,28,16,224.678,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
2018,832,4,55,16,17,0.0,37,\N,25,17,224.177,27.43,38.74,1008.3,0.0,52.17,109.53,1.46
